Index,Category,1-depth,2-depth,3-depth,Component,Description,Featured,Data,Comment
,,,,,,,,,
,,,,,[공통 레이아웃],,,,
1,공통,TopBar,,,로고 (AX Flow),AX Flow 로고 아이콘 + 텍스트. 클릭 시 채팅 화면으로 이동,Y,,모든 화면 좌상단 고정
2,공통,TopBar,,,브레드크럼,현재 위치 계층 경로 표시 (예: 라이브러리 / 문서),Y,,화면 전환 시 자동 갱신
3,공통,TopBar,,,알림 벨,미확인 알림 빨간 점(dot) 표시. 클릭 시 알림 드롭다운,Y,,OCR 검수 대기 / 파이프라인 오류 등
4,공통,Sidebar,채팅 그룹,,채팅 메뉴,"채팅 메뉴 + 하위 최근 대화 이력 3건 서브 아이템",Y,,기본 활성 메뉴
5,공통,Sidebar,채팅 그룹,,최근 대화 서브 아이템,"최근: 인쇄 불량 분석... / 최근: 장비 매뉴얼 요약 / 최근: SOP 개정 이력...",,,클릭 시 해당 대화 세션 복원
6,공통,Sidebar,라이브러리 그룹,,문서 메뉴,문서 관리 화면으로 이동,,,
7,공통,Sidebar,라이브러리 그룹,,자료 메뉴,OCR 문서양식 관리 화면으로 이동,,,
8,공통,Sidebar,라이브러리 그룹,,데이터베이스 메뉴,데이터베이스 화면으로 이동,,,
9,공통,Sidebar,라이브러리 그룹,,지식그래프 메뉴,지식 그래프 화면으로 이동,,,
10,공통,Sidebar,설정 그룹,,관리 및 설정 메뉴,도메인 / MCP / Tool 관리 화면으로 이동,,,구분선 하단에 위치
11,공통,Sidebar,설정 그룹,,파이프라인 메뉴,파이프라인(파싱/청킹/전체모니터) 화면으로 이동,,,
12,공통,Sidebar,설정 그룹,,운영 모니터링 메뉴,토큰 비용 / 성능 평가 화면으로 이동,,,
13,공통,Sidebar,설정 그룹,,에이전트 메뉴,에이전트 관리 / A/B 테스트 화면으로 이동,,,
14,공통,Sidebar,설정 그룹,,권한/RBAC 메뉴,권한 등급 / 접근 범위 / 감사 로그 화면으로 이동,,,
15,공통,Sidebar,사용자 정보,,사용자 프로필,"아바타(이니셜 K) / 이름(김관리) / 역할(Admin) 표시",,,Sidebar 최하단 고정
,,,,,,,,,
,,,,,[채팅],,,,
16,채팅,채팅,,,,,,,
17,채팅,채팅,채팅 영역 (좌측),,검색 모드 셀렉트,로컬 검색 / 글로벌 검색 / 하이브리드(자동),Y,,기본값: 로컬 검색
18,채팅,채팅,채팅 영역 (좌측),,대화 초기화 버튼,현재 대화 컨텍스트 초기화,,,확인 다이얼로그 후 실행
19,채팅,채팅,채팅 영역 (좌측),,사용자 메시지,우측 정렬 말풍선. 사용자가 입력한 질문 표시,Y,,"예시: ""인쇄 공정에서 잉크 점도 기준은 어떻게 되나요?"""
20,채팅,채팅,채팅 영역 (좌측),,AI 응답 메시지,"좌측 정렬 말풍선(아바타 Ax 포함). 마크다운 서식 / 표 렌더링 지원",Y,,"예시: 잉크 점도 규격 25±3 cP, 불량 유형별 대응 절차 등"
21,채팅,채팅,채팅 영역 (좌측),,근거 문서 인용 블록,"AI 답변 하단 — 참조 문서명 + 절/청크# 표시",Y,,"예시: 장비매뉴얼_프린터_v2.pdf (3.1절, 청크 #7)"
22,채팅,채팅,채팅 영역 (좌측),,피드백 버튼 (👍 / 👎),각 AI 답변마다 좋아요/아쉬워요 평가 수집,Y,,사용자 피드백 루프 연동
23,채팅,채팅,채팅 영역 (좌측),,피드백 안내 메시지,"답변이 도움이 되었나요? 피드백을 남겨주시면 서비스 개선에 도움이 됩니다.",,,각 답변 하단에 표시
24,채팅,채팅,채팅 영역 (좌측),,검색 방식 태그,"Vector(0.65) / Graph(0.35) 비중 + 검색 타입(Local/Global) + 응답시간 + 토큰 수",,,예시: 응답 1.2초 / 토큰 847
25,채팅,채팅,채팅 영역 (좌측),,채팅 입력 바,📎 파일 첨부 버튼 + 텍스트 입력 + 전송 버튼,Y,,Enter 키 또는 전송 클릭
26,채팅,채팅,답변 근거 패널 (우측),,추론 경로 (Graph Path),답변 생성에 사용된 노드 간 이동 경로를 태그 체인으로 시각화,Y,,"예시: 인쇄 불량 → 잉크 점도 → 장비매뉴얼_v2 → Ch.5 트러블슈팅"
27,채팅,채팅,답변 근거 패널 (우측),,관련 그래프 미니맵,"관련 노드/엣지를 소형 인터랙티브 그래프로 렌더링",,,"노드 5개 예시: 인쇄 불량 / 잉크 점도 / 인쇄공정 / SOP_인쇄 / 프린터 헤드"
28,채팅,채팅,답변 근거 패널 (우측),,현재 참조 중인 자료 목록,"사용자가 명시적으로 첨부한 파일 / 라이브러리 문서 / 웹링크. 항목별 × 제거 가능",Y,,"예시: 불량분석_2026Q1_보고서.xlsx / SOP_인쇄공정_v3.docx / ISO 62264 웹링크"
29,채팅,채팅,답변 근거 패널 (우측),,참조된 청크 목록,"RAG 검색 결과 청크 — 문서명 / 청크# / 본문 발췌 / 유사도 점수 / 원본 보기 버튼",Y,,"예시: 장비매뉴얼_v2 청크#12 유사도 0.94 / SOP_인쇄공정_v3 청크#8 유사도 0.91"
,,,,,,,,,
,,,,,[문서],,,,
30,라이브러리,문서,,,,,,,
31,라이브러리,문서,문서 목록,,검색 박스,문서 제목 / 작성자 / 키워드 통합 검색,Y,,
32,라이브러리,문서,문서 목록,,상태 필터 (셀렉트),모든 상태 / 업로드됨 / 파싱 중 / 검수 필요 / 완료 / 오류,Y,,기본값: 모든 상태
33,라이브러리,문서,문서 목록,,포맷 필터 (셀렉트),모든 포맷 / PDF / DOCX / HWP / XLSX,,,기본값: 모든 포맷
34,라이브러리,문서,문서 목록,,분류 필터 (셀렉트),모든 분류 / 장비매뉴얼 / SOP / 품질보고서 / 검사기준서,,,기본값: 모든 분류
35,라이브러리,문서,문서 목록,,문서 업로드 버튼,"+ 문서 업로드 클릭 → 파이프라인 화면으로 이동",Y,,
